Genres,MovieID,Title,Rating
Western,3607,One Little Indian (1973),5.0
Western,3030,Yojimbo (1961),4.404651162790698
Western,1304,Butch Cassidy and the Sundance Kid (1969),4.215644820295983
Western,1283,High Noon (1952),4.1786600496277915
Western,1201,"Good, The Bad and The Ugly, The (1966)",4.133819951338199
Western,1266,Unforgiven (1992),4.0902708124373115
Western,599,"Wild Bunch, The (1969)",4.087121212121212
Western,3365,"Searchers, The (1956)",4.085714285714285
Western,3671,Blazing Saddles (1974),4.047363717605005
Western,3037,Little Big Man (1970),4.04399323181049
War,527,Schindler's List (1993),4.510416666666667
War,1178,Paths of Glory (1957),4.473913043478261
War,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.4498902706656915
War,912,Casablanca (1942),4.412822049131217
War,1204,Lawrence of Arabia (1962),4.401925391095066
War,1250,"Bridge on the River Kwai, The (1957)",4.386993603411514
War,1262,"Great Escape, The (1963)",4.376436781609195
War,3134,"Grand Illusion (Grande illusion, La) (1937)",4.33939393939394
War,2028,Saving Private Ryan (1998),4.337353938937053
War,1233,"Boat, The (Das Boot) (1981)",4.302697302697303
Thriller,745,"Close Shave, A (1995)",4.52054794520548
Thriller,50,"Usual Suspects, The (1995)",4.517106001121705
Thriller,904,Rear Window (1954),4.476190476190476
Thriller,1212,"Third Man, The (1949)",4.452083333333333
Thriller,2762,"Sixth Sense, The (1999)",4.406262708418057
Thriller,908,North by Northwest (1959),4.38403041825095
Thriller,593,"Silence of the Lambs, The (1991)",4.3518231186966645
Thriller,1252,Chinatown (1974),4.339240506329114
Thriller,1267,"Manchurian Candidate, The (1962)",4.333333333333333
Thriller,2571,"Matrix, The (1999)",4.315830115830116
Sci-Fi,260,Star Wars: Episode IV - A New Hope (1977),4.453694416583082
Sci-Fi,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.4498902706656915
Sci-Fi,2571,"Matrix, The (1999)",4.315830115830116
Sci-Fi,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.292976588628763
Sci-Fi,541,Blade Runner (1982),4.273333333333333
Sci-Fi,1214,Alien (1979),4.159584980237154
Sci-Fi,1240,"Terminator, The (1984)",4.152049571020019
Sci-Fi,1253,"Day the Earth Stood Still, The (1951)",4.141323792486583
Sci-Fi,1200,Aliens (1986),4.125824175824176
Sci-Fi,1199,Brazil (1985),4.097480832420591
Romance,3888,Skipped Parts (2000),4.5
Romance,912,Casablanca (1942),4.412822049131217
Romance,3307,City Lights (1931),4.387453874538745
Romance,1197,"Princess Bride, The (1987)",4.3037100949094045
Romance,898,"Philadelphia Story, The (1940)",4.3006872852233675
Romance,930,Notorious (1946),4.29438202247191
Romance,1172,Cinema Paradiso (1988),4.287804878048781
Romance,899,Singin' in the Rain (1952),4.2836218375499335
Romance,969,"African Queen, The (1951)",4.251655629139073
Romance,1247,"Graduate, The (1967)",4.245836637589215
Mystery,578,"Hour of the Pig, The (1993)",4.5
Mystery,904,Rear Window (1954),4.476190476190476
Mystery,1212,"Third Man, The (1949)",4.452083333333333
Mystery,913,"Maltese Falcon, The (1941)",4.395973154362416
Mystery,1252,Chinatown (1974),4.339240506329114
Mystery,1284,"Big Sleep, The (1946)",4.312384473197782
Mystery,903,Vertigo (1958),4.27292817679558
Mystery,3730,"Conversation, The (1974)",4.249448123620309
Mystery,950,"Thin Man, The (1934)",4.239726027397261
Mystery,3801,Anatomy of a Murder (1959),4.231155778894473
Musical,899,Singin' in the Rain (1952),4.2836218375499335
Musical,919,"Wizard of Oz, The (1939)",4.247962747380675
Musical,1288,This Is Spinal Tap (1984),4.179785330948121
Musical,1066,Shall We Dance? (1937),4.1657142857142855
Musical,914,My Fair Lady (1964),4.154088050314465
Musical,945,Top Hat (1935),4.147410358565737
Musical,2300,"Producers, The (1968)",4.144376899696049
Musical,1947,West Side Story (1961),4.057818659658344
Musical,2565,"King and I, The (1956)",3.954301075268817
Musical,3606,On the Town (1949),3.940828402366864
Horror,3280,"Baby, The (1973)",5.0
Horror,1278,Young Frankenstein (1974),4.250628667225482
Horror,1219,Psycho (1960),4.218527315914489
Horror,1214,Alien (1979),4.159584980237154
Horror,1258,"Shining, The (1980)",4.104875804967802
Horror,1387,Jaws (1975),4.089569829110195
Horror,3305,Bluebeard (1944),4.0
Horror,1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.991596638655462
Horror,2648,Frankenstein (1931),3.9753694581280787
Horror,1997,"Exorcist, The (1973)",3.9559322033898305
Film-Noir,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.491489361702127
Film-Noir,3435,Double Indemnity (1944),4.415607985480944
Film-Noir,913,"Maltese Falcon, The (1941)",4.395973154362416
Film-Noir,1252,Chinatown (1974),4.339240506329114
Film-Noir,1267,"Manchurian Candidate, The (1962)",4.333333333333333
Film-Noir,1284,"Big Sleep, The (1946)",4.312384473197782
Film-Noir,2186,Strangers on a Train (1951),4.304979253112033
Film-Noir,1260,M (1931),4.3019480519480515
Film-Noir,930,Notorious (1946),4.29438202247191
Film-Noir,541,Blade Runner (1982),4.273333333333333
Fantasy,260,Star Wars: Episode IV - A New Hope (1977),4.453694416583082
Fantasy,792,"Hungarian Fairy Tale, A (1987)",4.0
